404: Not Found
港台频道2&爬虫更新,#genre#
电视剧,http://37.27.111.214:8080/live/108/hls.m3u8
电视剧,http://shuma004.chunfengyun.top:8080/live/108/hls.m3u8
神乐影院,http://zzy789.xyz/douyu1.php?id=122402
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
纬来综合,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8518/.m3u8
综艺,http://37.27.111.214:8080/live/67/hls.m3u8
综艺,http://shuma004.chunfengyun.top:8080/live/67/hls.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
超人,http://37.27.111.214:8080/live/110/hls.m3u8
超人,http://shuma004.chunfengyun.top:8080/live/110/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
镜新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
镜新闻,http://shuma004.chunfengyun.top:8080/live/62/hls.m3u8
靖天卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天国际台,https://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天日本台,https://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天映画台,https://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天育乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天资讯台,https://litv.zapi.us.kg/?id=4gtv-4gtv065
靖洋卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv057
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
龙华偶像台,https://litv.zapi.us.kg/?id=litv-longturn12
龙华日韩,http://shuma004.chunfengyun.top:8080/live/42/hls.m3u8
龙华日韩台,https://litv.zapi.us.kg/?id=litv-longturn11
﻿番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
﻿番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

央视频道&爬虫更新,#genre#
CCTV1,http://123.113.149.45:3568/rtp/239.3.1.129:8008
CCTV2,http://123.113.149.45:3568/rtp/239.3.1.60:8084
CCTV3,http://123.113.149.45:3568/rtp/239.3.1.172:8001
CCTV4,http://123.113.149.45:3568/rtp/239.3.1.105:8092
CCTV4 欧洲,http://123.113.149.45:3568/rtp/239.3.1.213:4220
CCTV4 美洲,http://123.113.149.45:3568/rtp/239.3.1.214:4220
